COUNTY,Class,Enrollment,Gender,School Category,Year,County (Centroids)
Vihiga         ,Class 2,779,Girls,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Uasin Gishu    ,Class 2,2175,Girls,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Turkana        ,Class 2,3670,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Trans Nzoia    ,Class 2,2329,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Tharaka-Nithi  ,Class 2,739,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tana River     ,Class 2,195,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Taita Taveta   ,Class 2,460,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Siaya          ,Class 2,858,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Samburu        ,Class 2,212,Girls,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Nyeri          ,Class 2,1987,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyandarua      ,Class 2,1487,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyamira        ,Class 2,1748,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Narok          ,Class 2,1584,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nandi          ,Class 2,1675,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nakuru         ,Class 2,5008,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nairobi        ,Class 2,21256,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Muranga        ,Class 2,1669,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Mombasa        ,Class 2,5232,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Migori         ,Class 2,2882,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Meru           ,Class 2,3826,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Marsabit       ,Class 2,717,Girls,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Mandera        ,Class 2,601,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Makueni        ,Class 2,655,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Machakos       ,Class 2,1747,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Lamu           ,Class 2,256,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Laikipia       ,Class 2,1152,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Kwale          ,Class 2,989,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kitui          ,Class 2,1053,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kisumu         ,Class 2,2102,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisii          ,Class 2,3918,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kirinyaga      ,Class 2,2003,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kilifi         ,Class 2,3011,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kiambu         ,Class 2,6988,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kericho        ,Class 2,2826,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kakamega       ,Class 2,3007,Girls,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kajiado        ,Class 2,3099,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Isiolo         ,Class 2,550,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Homa Bay       ,Class 2,2571,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Garissa        ,Class 2,6352,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Embu           ,Class 2,1037,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Elgeyo Marakwet,Class 2,643,Girls,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Busia          ,Class 2,1278,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Bungoma        ,Class 2,2817,Girls,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bomet          ,Class 2,2071,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Baringo        ,Class 2,1045,Girls,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
West Pokot     ,Class 2,293,Boys,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Wajir          ,Class 2,551,Boys,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
Vihiga         ,Class 2,834,Boys,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Uasin Gishu    ,Class 2,2163,Boys,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Turkana        ,Class 2,4051,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Trans Nzoia    ,Class 2,2365,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Tharaka-Nithi  ,Class 2,705,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tana River     ,Class 2,219,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Taita Taveta   ,Class 2,531,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Siaya          ,Class 2,807,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Samburu        ,Class 2,217,Boys,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Nyeri          ,Class 2,2047,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyandarua      ,Class 2,1554,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyamira        ,Class 2,1743,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Narok          ,Class 2,1661,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nandi          ,Class 2,1804,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nakuru         ,Class 2,5159,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nairobi        ,Class 2,20931,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Muranga        ,Class 2,1692,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Mombasa        ,Class 2,5269,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Migori         ,Class 2,2940,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Meru           ,Class 2,3874,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Marsabit       ,Class 2,782,Boys,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Mandera        ,Class 2,681,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Makueni        ,Class 2,714,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Machakos       ,Class 2,1825,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Lamu           ,Class 2,293,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Laikipia       ,Class 2,1104,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Kwale          ,Class 2,1054,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kitui          ,Class 2,1105,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kisumu         ,Class 2,2123,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisii          ,Class 2,3987,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kirinyaga      ,Class 2,2027,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kilifi         ,Class 2,2954,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kiambu         ,Class 2,7093,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kericho        ,Class 2,3073,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kakamega       ,Class 2,3210,Boys,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kajiado        ,Class 2,3030,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Isiolo         ,Class 2,621,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Homa Bay       ,Class 2,2640,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Garissa        ,Class 2,9133,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Embu           ,Class 2,1226,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Elgeyo Marakwet,Class 2,706,Boys,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Busia          ,Class 2,1410,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Bungoma        ,Class 2,2809,Boys,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bomet          ,Class 2,2235,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Baringo        ,Class 2,1149,Boys,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
Bomet          ,Class 2,12482,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 2,31318,Girls,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 2,16375,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 2,6612,Girls,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 2,6082,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 2,3565,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 2,19129,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 2,1932,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 2,7186,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 2,35114,Girls,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 2,11959,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 2,12294,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 2,16777,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 2,4625,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 2,17007,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 2,15536,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 2,20359,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 2,10904,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 2,5031,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 2,1495,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 2,15157,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 2,15664,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 2,5161,Girls,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 2,3596,Girls,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 2,18633,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 2,18410,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 2,3535,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 2,10089,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 2,9474,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 2,22388,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 2,13659,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 2,15418,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 2,7945,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 2,7281,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 2,6123,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 2,3224,Girls,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 2,16299,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 2,3607,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 2,3285,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 2,5334,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 2,13779,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 2,12997,Girls,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 2,9996,Girls,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 2,11037,Girls,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 2,4225,Girls,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 2,12212,Girls,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 2,8282,Boys,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Baringo        ,Class 3,7661,Girls,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 3,12680,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 3,31742,Girls,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 3,16012,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 3,6543,Girls,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 3,6367,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 3,2880,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 3,19332,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 3,1910,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 3,7487,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 3,34644,Girls,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 3,11737,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 3,12944,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 3,16747,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 3,4772,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 3,16983,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 3,15253,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 3,20104,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 3,10588,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 3,5201,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 3,1559,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 3,15509,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 3,15552,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 3,4832,Girls,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 3,3248,Girls,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 3,17995,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 3,18058,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 3,3816,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 3,10296,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 3,10876,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 3,22704,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 3,13360,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 3,15358,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 3,7720,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 3,7669,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 3,6223,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 3,3297,Girls,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 3,15868,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 3,3784,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 3,3007,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 3,5574,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 3,13733,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 3,10907,Girls,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 3,10098,Girls,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 3,11007,Girls,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 3,3769,Girls,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 3,11495,Boys,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Wajir          ,Class 3,514,Girls,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
Vihiga         ,Class 3,650,Girls,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Uasin Gishu    ,Class 3,2050,Girls,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Turkana        ,Class 3,3237,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Trans Nzoia    ,Class 3,2305,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Tharaka-Nithi  ,Class 3,690,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tana River     ,Class 3,185,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Taita Taveta   ,Class 3,439,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Siaya          ,Class 3,837,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Samburu        ,Class 3,189,Girls,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Nyeri          ,Class 3,1964,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyandarua      ,Class 3,1589,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyamira        ,Class 3,1803,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Narok          ,Class 3,1645,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nandi          ,Class 3,1612,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nakuru         ,Class 3,4765,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nairobi        ,Class 3,21044,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Muranga        ,Class 3,1664,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Mombasa        ,Class 3,5012,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Migori         ,Class 3,2768,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Meru           ,Class 3,3861,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Marsabit       ,Class 3,707,Girls,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Mandera        ,Class 3,563,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Makueni        ,Class 3,654,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Machakos       ,Class 3,1603,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Lamu           ,Class 3,247,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Laikipia       ,Class 3,1098,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Kwale          ,Class 3,943,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kitui          ,Class 3,1029,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kisumu         ,Class 3,2003,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisii          ,Class 3,3660,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kirinyaga      ,Class 3,2020,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kilifi         ,Class 3,2934,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kiambu         ,Class 3,6938,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kericho        ,Class 3,2842,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kakamega       ,Class 3,2754,Girls,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kajiado        ,Class 3,3148,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Isiolo         ,Class 3,520,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Homa Bay       ,Class 3,2614,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Garissa        ,Class 3,4957,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Embu           ,Class 3,1120,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Elgeyo Marakwet,Class 3,690,Girls,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Busia          ,Class 3,1188,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Bungoma        ,Class 3,2672,Girls,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bomet          ,Class 3,2100,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Baringo        ,Class 3,1020,Girls,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
West Pokot     ,Class 3,11163,Girls,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Wajir          ,Class 3,5517,Boys,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
Vihiga         ,Class 3,11031,Boys,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Uasin Gishu    ,Class 3,10370,Boys,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Turkana        ,Class 3,13475,Boys,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Trans Nzoia    ,Class 3,13982,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
